Scientific_name,Growth_form,Phenology,Leaf,leaf_classification
Populus deltoides,tree,deciduous,broad,broadleaf
Populus tremuloides,tree,deciduous,broad,broadleaf
Carya glabra,tree,deciduous,broad,broadleaf
Carya tomentosa,tree,deciduous,broad,broadleaf
Liquidambar styraciflua,tree,deciduous,broad,broadleaf
Liriodendron tulipifera,tree,deciduous,broad,broadleaf
Pinus palustris,tree,evergreen,needle,needle
Pinus taeda,tree,evergreen,needle,needle
Quercus alba,tree,deciduous,broad,broadleaf
Quercus falcate,tree,deciduous,broad,broadleaf
Quercus marilandica,tree,deciduous,broad,broadleaf
Quercus montana,tree,deciduous,broad,broadleaf
Acer negundo,tree,deciduous,broad,broadleaf
Acer pseudoplatanus,tree,deciduous,broad,broadleaf
Alnus glutinosa,tree,deciduous,broad,broadleaf
Calicarpa bodinieri,shrub,deciduous,broad,broadleaf
Castanea sativa,tree,deciduous,broad,broadleaf
Cercis siliquastrum,tree,deciduous,broad,broadleaf
Cornus alba,shrub,deciduous,broad,broadleaf
Corylus maxima,shrub,deciduous,broad,broadleaf
Cotinus coggygria,shrub,deciduous,broad,broadleaf
Eucalyptus gunnii,tree,evergreen,broad,broadleaf
Euonymus fortunei,vine,evergreen,broad,NA
Geranium NA,NA,NA,NA,NA
Hedera helix,vine,evergreen,broad,NA
Hydrangea macrophylla,shrub,deciduous,broad,broadleaf
Ilex aquifolium,tree,evergreen,broad,broadleaf
Juglans regia,tree,deciduous,broad,broadleaf
Ligustrum vulgare,shrub,evergreen,broad,broadleaf
Osmanthus heterophyllus,shrub,evergreen,broad,broadleaf
Parthenocissus tricuspidata,vine,deciduous,broad,NA
Populus alba,tree,deciduous,broad,broadleaf
Prunus laurocerasus,tree,evergreen,broad,broadleaf
Prunus lusitanica,tree,evergreen,broad,broadleaf
Quercus ilex,tree,evergreen,broad,broadleaf
Quercus palustris,tree,deciduous,broad,broadleaf
Rhododendron calophytum,shrub,evergreen,broad,broadleaf
Rhus typhina,shrub,deciduous,broad,broadleaf
Robinia pseudoacacia,tree,deciduous,broad,broadleaf
Salix atrocinerea,tree,deciduous,broad,broadleaf
Schefflera arboricola,shrub,evergreen,broad,broadleaf
Syringa vulgaris,shrub,deciduous,broad,broadleaf
Tilia tomentosa,tree,deciduous,broad,broadleaf
Viburnum plicatum,shrub,deciduous,broad,broadleaf
Viburnum rhytidophyllum,shrub,evergreen,broad,broadleaf
Viburnum tinus,shrub,evergreen,broad,broadleaf
Vitis vinifera,vine,deciduous,broad,NA
Weigela florida,shrub,deciduous,broad,broadleaf
Abies balsamea,tree,evergreen,needle,needle
Acer nigrum,tree,deciduous,broad,broadleaf
Acer pensylvanicum,tree,deciduous,broad,broadleaf
Acer platanoides,tree,deciduous,broad,broadleaf
Acer rubrum,tree,deciduous,broad,broadleaf
Acer saccharinum,tree,deciduous,broad,broadleaf
Acer saccharum,tree,deciduous,broad,broadleaf
Acer spicatum,tree,deciduous,broad,broadleaf
Aesculus hippocastanum,tree,deciduous,broad,broadleaf
Agonis flexuosa,tree,evergreen,broad,broadleaf
Alnus incana,tree,deciduous,broad,broadleaf
Apocynum androsaemifolium,shrub,deciduous,broad,broadleaf
Asclepias syriaca,shrub,deciduous,broad,broadleaf
Berberis aquifolium,shrub,evergreen,broad,broadleaf
Betula alleghaniensis,tree,deciduous,broad,broadleaf
Betula papyrifera,tree,deciduous,broad,broadleaf
Betula populifolia,tree,deciduous,broad,broadleaf
Bromus inermis,grass,perennial,N/A,grass
Bromus sitchensis,grass,perennial,N/A,grass
Bromus sterilis,grass,perennial,N/A,grass
Calamagrostis canadensis,grass,perennial,N/A,grass
Camassia leichtlinii,herbaceous,perennial,broad,herbaceous
Camassia quamash,herbaceous,perennial,broad,herbaceous
Carpinus caroliniana,tree,deciduous,broad,broadleaf
Carya cordiformis,tree,deciduous,broad,broadleaf
Carya ovata,tree,deciduous,broad,broadleaf
Celtis occidentalis,tree,deciduous,broad,broadleaf
Chamaedaphne calyculata,shrub,evergreen,broad,broadleaf
Cirsium arvense,herbaceous,perennial,broad,herbaceous
Claytonia perfoliata,herbaceous,annual,broad,herbaceous
Cornus sericea,shrub,deciduous,broad,broadleaf
Crataegus monogyna,tree,deciduous,broad,broadleaf
Cytisus scoparius,shrub,deciduous,broad,broadleaf
Dactylis glomerata,grass,perennial,N/A,grass
Eriophorum vaginatum,herbaceous,perennial,broad,herbaceous
