location_name,latitude,longitude,trait,site_name,data_split_type
"Angers, France",47.47,-0.55,Carotenoid_Area,angers-leaf-optical-properties-database--2003-,train
"Ispra, Italy",45.81,8.61,Carotenoid_Area,leaf-optical-properties-experiment-database--lopex93-,train
"Abby Road, WA",45.76,-122.33,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Blandy Experimental Farm, VA",39.03,-78.04,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Chase Lake National Wildlife Refuge, ND",47.13,-99.24,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Dead Lake, AL",32.7,-88.03,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Disney Wilderness Preserve, FL",28.13,-81.44,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Harvard Forest & Quabbin Watershed, MA",42.54,-72.17,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Konza Prairie Biological Station, KS",39.1,-96.56,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Lenoir Landing, AL",31.85,-88.16,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"McDiffett Creek, KS",39.09,-96.24,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"McRae Creek, OR",44.26,-122.17,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Mountain Lake Biological Station, VA",37.38,-80.52,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Northern Great Plains Research Laboratory, ND",46.77,-100.92,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Oak Ridge, TN",35.96,-84.28,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Ordway-Swisher Biological Station, FL",29.69,-81.99,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"San Joaquin Experimental Range, CA",37.11,-119.73,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Smithsonian Conservation Biology Institute, VA",38.89,-78.14,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Soaproot Saddle, CA",37.03,-119.26,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Steigerwaldt-Chequamegon, WI",45.51,-89.59,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Talladega National Forest, AL",33.31,-87.12,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"The Jones Center At Ichauway, GA",31.19,-84.47,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
