V1,spectra_means,spectra_names,spectra_rank,trait_name
400,0.054,x400,NA,Leaf Mass per Area
401,0.054,x401,NA,Leaf Mass per Area
402,0.053,x402,NA,Leaf Mass per Area
403,0.052,x403,NA,Leaf Mass per Area
404,0.051,x404,NA,Leaf Mass per Area
405,0.05,x405,NA,Leaf Mass per Area
406,0.049,x406,NA,Leaf Mass per Area
407,0.048,x407,NA,Leaf Mass per Area
408,0.048,x408,NA,Leaf Mass per Area
409,0.048,x409,NA,Leaf Mass per Area
410,0.048,x410,NA,Leaf Mass per Area
411,0.048,x411,NA,Leaf Mass per Area
412,0.049,x412,NA,Leaf Mass per Area
413,0.049,x413,NA,Leaf Mass per Area
414,0.049,x414,NA,Leaf Mass per Area
415,0.05,x415,NA,Leaf Mass per Area
416,0.05,x416,NA,Leaf Mass per Area
417,0.05,x417,NA,Leaf Mass per Area
418,0.051,x418,NA,Leaf Mass per Area
419,0.051,x419,NA,Leaf Mass per Area
420,0.051,x420,NA,Leaf Mass per Area
421,0.051,x421,NA,Leaf Mass per Area
422,0.051,x422,NA,Leaf Mass per Area
423,0.052,x423,NA,Leaf Mass per Area
424,0.052,x424,NA,Leaf Mass per Area
425,0.052,x425,NA,Leaf Mass per Area
426,0.052,x426,NA,Leaf Mass per Area
427,0.051,x427,NA,Leaf Mass per Area
428,0.051,x428,NA,Leaf Mass per Area
429,0.051,x429,NA,Leaf Mass per Area
430,0.051,x430,NA,Leaf Mass per Area
431,0.051,x431,NA,Leaf Mass per Area
432,0.052,x432,NA,Leaf Mass per Area
433,0.052,x433,NA,Leaf Mass per Area
434,0.052,x434,NA,Leaf Mass per Area
435,0.052,x435,NA,Leaf Mass per Area
436,0.052,x436,NA,Leaf Mass per Area
437,0.053,x437,NA,Leaf Mass per Area
438,0.053,x438,NA,Leaf Mass per Area
439,0.053,x439,NA,Leaf Mass per Area
440,0.053,x440,NA,Leaf Mass per Area
441,0.053,x441,NA,Leaf Mass per Area
442,0.053,x442,NA,Leaf Mass per Area
443,0.053,x443,NA,Leaf Mass per Area
444,0.053,x444,NA,Leaf Mass per Area
445,0.053,x445,NA,Leaf Mass per Area
446,0.053,x446,NA,Leaf Mass per Area
447,0.053,x447,NA,Leaf Mass per Area
448,0.053,x448,NA,Leaf Mass per Area
449,0.054,x449,NA,Leaf Mass per Area
450,0.054,x450,NA,Leaf Mass per Area
451,0.054,x451,NA,Leaf Mass per Area
452,0.054,x452,NA,Leaf Mass per Area
453,0.054,x453,NA,Leaf Mass per Area
454,0.054,x454,NA,Leaf Mass per Area
455,0.055,x455,NA,Leaf Mass per Area
456,0.055,x456,NA,Leaf Mass per Area
457,0.055,x457,NA,Leaf Mass per Area
458,0.055,x458,NA,Leaf Mass per Area
459,0.055,x459,NA,Leaf Mass per Area
460,0.055,x460,NA,Leaf Mass per Area
